City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,Jambi,-1.6,103.6167,78.55,86,82,1.48,ID,2022-04-02 00:51:01
166,Atar,20.5169,-13.0499,75.42,16,0,5.75,MR,2022-04-02 00:46:36
167,Carnarvon,-24.8667,113.6333,77.07,94,40,9.22,AU,2022-04-02 00:51:01
168,Cockburn Town,21.4612,-71.1419,76.96,69,40,11.5,TC,2022-04-02 00:51:02
169,Chimbote,-9.0853,-78.5783,69.33,83,75,7.72,PE,2022-04-02 00:51:02
170,Ilulissat,69.2167,-51.1,19.18,79,2,6.96,GL,2022-04-02 00:51:03
171,East London,-33.0153,27.9116,65.12,93,100,7.54,ZA,2022-04-02 00:48:19
172,San Miguel,13.4833,-88.1833,81.68,66,6,3.49,SV,2022-04-02 00:51:03
173,Tasiilaq,65.6145,-37.6368,30.56,91,100,7.81,GL,2022-04-02 00:51:04
174,Aklavik,68.2191,-135.0107,-2.85,83,99,7.7,CA,2022-04-02 00:51:04
175,Dedovichi,57.5517,29.9502,24.44,91,100,7.05,RU,2022-04-02 00:51:05
176,Zyryanka,65.75,150.85,3.63,85,89,7.7,RU,2022-04-02 00:51:05
177,Hofn,64.2539,-15.2082,39.54,78,100,4.61,IS,2022-04-02 00:52:06
178,Sriperumbudur,12.9689,79.9489,82.08,92,4,5.75,IN,2022-04-02 00:52:06
179,Iquique,-20.2208,-70.1431,64.99,75,32,1.97,CL,2022-04-02 00:51:36
180,Jalu,29.0331,21.5482,69.17,24,100,10.78,LY,2022-04-02 00:48:00
181,Artyom,40.4723,50.333,51.94,77,84,14.18,AZ,2022-04-02 00:52:07
182,Sakhipur,24.3,90.1833,77.23,88,38,7.4,BD,2022-04-02 00:52:07
183,Marsaxlokk,35.8419,14.5431,58.08,75,62,16.93,MT,2022-04-02 00:52:08
184,Knysna,-34.0363,23.0471,61.54,72,86,3.22,ZA,2022-04-02 00:52:08
185,Nhlangano,-27.1167,31.2,63.01,90,92,2.3,SZ,2022-04-02 00:52:09
186,Roma,43.2128,-75.4557,35.74,69,100,19.57,US,2022-04-02 00:52:10
187,Batemans Bay,-35.7167,150.1833,61.11,82,100,15.55,AU,2022-04-02 00:52:10
188,Carnot,4.9409,15.8665,69.66,93,100,0.54,CF,2022-04-02 00:52:10
189,Tilichiki,60.4667,166.1,18.86,80,100,12.24,RU,2022-04-02 00:52:11
190,Tessalit,20.1986,1.0114,84.76,11,100,6.71,ML,2022-04-02 00:52:11
191,Pisco,-13.7,-76.2167,68.05,73,0,16.11,PE,2022-04-02 00:52:12
192,Ribeira Grande,38.5167,-28.7,56.98,75,16,18.54,PT,2022-04-02 00:52:12
193,Port Elizabeth,-33.918,25.5701,62.89,78,75,13.8,ZA,2022-04-02 00:52:13
