City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Honningsvag,NO,70.9821,25.9704,28.04,53,100,17.22,overcast clouds
207,Tukrah,LY,32.5341,20.5791,64.36,56,0,15.55,clear sky
208,Sibolga,ID,1.7427,98.7792,74.8,87,94,2.3,overcast clouds
209,Soyo,AO,-6.1349,12.3689,78.93,90,49,9.24,scattered clouds
210,Hambantota,LK,6.1241,81.1185,78.1,83,14,1.81,few clouds
211,Kroya,ID,-7.6331,109.2461,75.87,88,100,3.85,overcast clouds
212,Dembi Dolo,ET,8.5333,34.8,63.37,72,86,2.55,overcast clouds
213,Almaty,KZ,43.25,76.95,44.51,76,40,2.24,mist
214,Brae,GB,60.3964,-1.353,46.72,96,100,21.43,overcast clouds
215,Chabahar,IR,25.2919,60.643,78.44,58,15,4.09,few clouds
216,Tuatapere,NZ,-46.1333,167.6833,46.99,92,87,3.44,overcast clouds
217,Manokwari,ID,-0.8667,134.0833,78.17,77,100,2.71,overcast clouds
218,Sur,OM,22.5667,59.5289,82.44,46,9,9.08,clear sky
219,Inirida,CO,3.8653,-67.9239,82.0,82,100,2.26,light rain
220,Maloy,NO,61.9353,5.1136,35.33,92,100,4.97,light snow
221,Elat,IL,29.5581,34.9482,80.44,12,0,18.41,clear sky
222,Along,IN,28.1667,94.7667,66.33,99,100,0.45,overcast clouds
223,Sovetskiy,RU,61.3614,63.5842,32.94,98,100,11.25,overcast clouds
224,Tuktoyaktuk,CA,69.4541,-133.0374,-11.16,95,99,4.05,overcast clouds
225,Tilichiki,RU,60.4667,166.1,9.03,85,96,6.73,overcast clouds
226,Dharchula,IN,29.85,80.5333,60.3,27,6,8.97,clear sky
227,Panhala,IN,16.8167,74.1167,72.34,74,100,4.47,overcast clouds
228,Nouadhibou,MR,20.931,-17.0347,64.98,86,0,11.74,clear sky
229,Batagay,RU,67.6333,134.6333,-14.06,99,98,1.25,overcast clouds
230,Mayumba,GA,-3.432,10.6554,77.88,93,47,5.17,scattered clouds
231,Chauk,MM,20.8833,94.8167,81.77,58,98,9.42,overcast clouds
232,Port Alfred,ZA,-33.5906,26.891,68.18,91,98,19.51,overcast clouds
233,Seoul,KR,37.5683,126.9778,40.44,47,0,2.51,clear sky
234,Dikson,RU,73.5069,80.5464,-2.94,100,45,9.19,scattered clouds
235,Gladstone,AU,-23.85,151.25,71.53,83,30,5.75,scattered clouds
236,Dorado,PR,18.4588,-66.2677,85.71,71,40,9.22,scattered clouds
237,Quatre Cocos,MU,-20.2078,57.7625,80.1,79,21,13.09,few clouds
238,Palmer,US,42.1584,-72.3287,50.38,66,100,3.0,overcast clouds
239,Mirandola,IT,44.8868,11.0662,48.36,67,96,6.85,overcast clouds
240,Leningradskiy,RU,69.3833,178.4167,-17.82,100,95,2.51,overcast clouds
241,Malakal,SS,9.5334,31.6605,89.89,36,91,4.5,overcast clouds
242,San Rafael,AR,-34.6177,-68.3301,65.97,17,12,7.83,few clouds
243,Acapulco,MX,16.8634,-99.8901,84.76,53,4,10.54,clear sky
244,Guerrero Negro,MX,27.9769,-114.0611,65.97,53,31,14.65,scattered clouds
245,Ilulissat,GL,69.2167,-51.1,30.22,74,75,9.22,broken clouds
246,Kaeo,NZ,-35.1,173.7833,66.33,92,18,1.03,few clouds
247,Half Moon Bay,US,37.4636,-122.4286,79.54,61,0,13.8,mist
248,Pingzhuang,CN,42.0372,119.2889,46.44,32,15,7.63,few clouds
249,Resistencia,AR,-27.4606,-58.9839,77.11,99,96,3.67,overcast clouds
250,Ahuimanu,US,21.4447,-157.8378,79.36,63,88,7.0,overcast clouds
251,Shenjiamen,CN,29.9576,122.298,50.4,63,34,6.26,scattered clouds
252,Lata,PT,40.1629,-8.3327,54.81,46,1,4.81,clear sky
253,Stykkisholmur,IS,65.0757,-22.7297,34.34,93,100,14.0,light snow
254,Paamiut,GL,61.994,-49.6678,35.8,80,88,7.9,overcast clouds
255,Chifeng,CN,42.2683,118.9636,50.95,27,89,16.71,overcast clouds
256,Bonthe,SL,7.5264,-12.505,78.82,78,11,9.57,few clouds
257,Kahului,US,20.8947,-156.47,78.96,83,20,30.0,few clouds
258,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,75,13,14.45,few clouds
259,Santa Rosa,PH,14.3122,121.1114,80.02,75,86,10.38,overcast clouds
260,Denpasar,ID,-8.65,115.2167,78.46,94,20,1.14,few clouds
261,Kasongo-Lunda,CD,-6.4667,16.8167,71.46,87,32,1.5,scattered clouds
262,Jingdezhen,CN,29.2947,117.2079,50.49,80,48,3.38,scattered clouds
263,Ust-Maya,RU,60.4167,134.5333,9.48,96,100,1.45,overcast clouds
264,Kangaba,ML,11.9333,-8.4167,94.23,24,100,3.62,overcast clouds
265,Saurimo,AO,-9.6608,20.3916,66.06,96,100,3.76,overcast clouds
266,Bengkulu,ID,-3.8004,102.2655,76.93,82,100,4.61,overcast clouds
267,Portland,US,45.5234,-122.6762,56.28,67,98,5.99,light rain
268,Mahbubabad,IN,17.6167,80.0167,79.95,61,16,8.16,few clouds
269,Mildura,AU,-34.2,142.15,53.08,87,0,3.44,clear sky
270,Odweyne,SO,9.4092,45.064,75.45,34,7,9.53,clear sky
271,Lichinga,MZ,-13.3128,35.2406,66.29,94,0,3.44,clear sky
272,Gornopravdinsk,RU,60.05,69.9,33.75,96,100,14.03,overcast clouds
273,Lagoa,PT,39.05,-27.9833,58.95,82,0,19.17,clear sky
274,Muroto,JP,33.2833,134.15,55.04,73,92,7.02,overcast clouds
275,Solginskiy,RU,61.05,41.3428,16.86,96,58,4.92,broken clouds
